ano,valor_mercado,pl,pl_corrigido
2021,4028822953.139512,2395327383.9375,2423835419.737466
2022,4168747449.8797317,2478904397.125,2882369939.851811
2023,4654390808.038044,2904907188.375,3552791720.5617533
2024,3990575357.7186847,2992199940.125,3782106657.8706646
